studentid,name,academicinterest,extracurricularactivities,skills,location,yearofstudy,major,gpa,languages,clubmemberships,researchinterests
16,Student 16,Mathematics,Debate Club,"Artistic, Leadership, Programming",Chicago,Freshman,Computer Science,2.5,English,"Art Club, Coding Club, Debate Club, Music Club, Sports Team",Cognitive Psychology
17,Student 17,Computer Science,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",New York,Junior,Physics,3.0,"Chinese, English, Japanese","Art Club, Debate Club, Music Club, Volunteer Group",Robotics
18,Student 18,Biology,Volunteer Group,"Data Analysis, Problem Solving, Public Speaking",Los Angeles,Sophomore,Computer Science,3.91,Japanese,"Art Club, Coding Club, Sports Team, Volunteer Group",Space Exploration
19,Student 19,Physics,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",New York,Freshman,Biology,2.44,"English, German","Art Club, Coding Club, Debate Club, Sports Team",Blockchain Technology
20,Student 20,Physics,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Sophomore,History,3.64,"Chinese, English, French, German, Japanese, Spanish",Debate Club,Machine Learning
21,Student 21,Physics,Coding Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Freshman,Mathematics,2.36,"Chinese, French, German","Art Club, Debate Club, Volunteer Group",Environmental Sustainability
22,Student 22,Biology,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving",San Francisco,Junior,Psychology,3.8,"English, Spanish","Art Club, Music Club",Astrophysics
23,Student 23,Psychology,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Los Angeles,Graduate,Mathematics,3.81,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club",Educational Technology
24,Student 24,Computer Science,Music Club,"Artistic, Data Analysis, Public Speaking",Houston,Sophomore,Physics,3.12,"Chinese, English, French, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club",Climate Change
25,Student 25,Physics,Coding Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Junior,Physics,2.79,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team",Environmental Sustainability
26,Student 26,Physics,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Junior,Physics,2.77,"Chinese, Japanese, Spanish","Art Club, Debate Club, Music Club, Sports Team",Data Science
27,Student 27,Computer Science,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Senior,History,3.42,English,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Quantum Computing
28,Student 28,History,Volunteer Group,"Data Analysis, Programming",Chicago,Graduate,Biology,3.27,Spanish,Sports Team,Machine Learning
29,Student 29,Biology,Art Club,"Data Analysis, Leadership",Los Angeles,Junior,Psychology,2.91,Chinese,Music Club,Data Science
30,Student 30,Physics,Music Club,"Data Analysis, Public Speaking",Los Angeles,Senior,History,2.96,"Chinese, English, French, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Artificial Intelligence
31,Student 31,Mathematics,Debate Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",San Francisco,Sophomore,Biology,2.26,"Chinese, English, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Renewable Energy
32,Student 32,Mathematics,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Graduate,Computer Science,3.01,"Chinese, French, Spanish","Art Club, Coding Club, Debate Club, Music Club",Data Science
33,Student 33,Biology,Debate Club,"Programming, Public Speaking",Chicago,Senior,Computer Science,2.83,"Chinese, French, German, Japanese","Art Club, Coding Club, Music Club, Sports Team",Nanotechnology
34,Student 34,Psychology,Volunteer Group,"Data Analysis, Programming, Public Speaking",New York,Sophomore,History,2.19,"English, German","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Human-Computer Interaction
35,Student 35,Biology,Art Club,Data Analysis,Boston,Junior,Physics,3.1,"Chinese, English, French, German, Japanese, Spanish",Volunteer Group,Behavioral Economics
36,Student 36,Mathematics,Music Club,"Leadership, Problem Solving, Programming",Boston,Senior,Psychology,3.12,"English, French, German, Japanese, Spanish","Art Club, Debate Club",Quantum Computing
37,Student 37,History,Sports Team,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",New York,Sophomore,History,3.46,"Chinese, English, French, German",Art Club,Healthcare Management
38,Student 38,Physics,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Sophomore,Computer Science,3.67,German,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Robotics
39,Student 39,Computer Science,Sports Team,"Data Analysis, Problem Solving, Programming, Public Speaking",Los Angeles,Freshman,Mathematics,3.24,German,"Art Club, Debate Club",Quantum Computing
40,Student 40,Computer Science,Coding Club,"Data Analysis, Leadership, Programming",Boston,Senior,Mathematics,2.51,"English, Spanish","Coding Club, Music Club",Machine Learning
41,Student 41,Computer Science,Music Club,"Artistic, Leadership, Programming, Public Speaking",Boston,Senior,Psychology,2.42,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Quantum Computing
42,Student 42,Physics,Art Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Freshman,Mathematics,2.65,German,"Debate Club, Music Club, Volunteer Group",Behavioral Economics
43,Student 43,History,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Sophomore,Mathematics,3.77,"Chinese, English, Spanish","Art Club, Debate Club, Sports Team, Volunteer Group",Astrophysics
44,Student 44,Computer Science,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",Los Angeles,Freshman,Psychology,2.7199999999999998,"Chinese, Japanese, Spanish","Coding Club, Sports Team",Educational Technology
45,Student 45,Biology,Sports Team,Problem Solving,Houston,Freshman,History,3.68,"English, French",Coding Club,Climate Change
46,Student 46,Computer Science,Sports Team,Artistic,Boston,Junior,Mathematics,3.12,German,Art Club,Urban Planning
47,Student 47,Biology,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",Los Angeles,Sophomore,Biology,2.9,"English, German",Sports Team,Nanotechnology
48,Student 48,Physics,Music Club,"Artistic, Problem Solving, Programming",San Francisco,Sophomore,History,2.11,"German, Japanese","Art Club, Sports Team",Political Science
49,Student 49,History,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Freshman,Psychology,3.99,"Chinese, English, German, Japanese, Spanish",Music Club,Space Exploration
50,Student 50,Psychology,Sports Team,"Leadership, Public Speaking",Chicago,Senior,History,2.64,"French, German, Japanese, Spanish","Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Social Sciences
51,Student 51,Computer Science,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Senior,Computer Science,2.17,"Chinese, English, French, German, Japanese, Spanish","Debate Club, Music Club, Sports Team, Volunteer Group",Human-Computer Interaction
52,Student 52,History,Sports Team,Public Speaking,Chicago,Graduate,Mathematics,2.11,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Cybersecurity
53,Student 53,Biology,Sports Team,"Data Analysis, Leadership, Programming, Public Speaking",New York,Senior,Mathematics,2.26,"Chinese, Japanese","Coding Club, Sports Team, Volunteer Group",Astrophysics
54,Student 54,Computer Science,Sports Team,"Programming, Public Speaking",Los Angeles,Senior,Biology,2.13,"French, German, Japanese","Coding Club, Sports Team, Volunteer Group",Educational Technology
55,Student 55,History,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Senior,Computer Science,3.75,"English, German, Japanese, Spanish","Debate Club, Music Club, Volunteer Group",Bioinformatics
56,Student 56,History,Music Club,"Artistic, Leadership, Programming, Public Speaking",Chicago,Graduate,Mathematics,3.55,"French, German","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Human-Computer Interaction
57,Student 57,Biology,Sports Team,"Artistic, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Junior,Mathematics,2.44,"English, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Nanotechnology
58,Student 58,Psychology,Volunteer Group,"Artistic, Leadership",Los Angeles,Senior,History,3.23,"English, French, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Space Exploration
59,Student 59,Physics,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Senior,Psychology,3.74,"Chinese, English, German",Art Club,Natural Language Processing
60,Student 60,Psychology,Sports Team,"Leadership, Programming, Public Speaking",Chicago,Junior,Biology,2.42,Japanese,"Art Club, Coding Club, Music Club, Volunteer Group",Social Sciences
61,Student 61,Computer Science,Sports Team,Data Analysis,Houston,Freshman,Physics,3.62,"Chinese, English, French, German",Coding Club,Machine Learning
62,Student 62,Biology,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Junior,History,2.83,Spanish,"Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Blockchain Technology
63,Student 63,History,Sports Team,"Artistic, Data Analysis, Leadership",New York,Junior,Physics,3.63,"Chinese, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Robotics
64,Student 64,Computer Science,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Graduate,Computer Science,3.14,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club",Cognitive Psychology
65,Student 65,Computer Science,Music Club,Programming,New York,Senior,Psychology,3.8200000000000003,"Chinese, English, German, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Educational Technology
66,Student 66,History,Debate Club,"Artistic, Problem Solving, Programming, Public Speaking",New York,Sophomore,Psychology,2.91,"Chinese, German","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Political Science
67,Student 67,Psychology,Coding Club,"Data Analysis, Programming",New York,Sophomore,Biology,2.34,"Chinese, English, French, German, Japanese, Spanish","Art Club, Music Club",Machine Learning
68,Student 68,History,Art Club,Programming,Los Angeles,Graduate,Psychology,3.43,"English, French, German, Japanese, Spanish","Music Club, Sports Team",Behavioral Economics
69,Student 69,Mathematics,Coding Club,"Leadership, Problem Solving, Public Speaking",Chicago,Freshman,Physics,2.5300000000000002,"English, German, Spanish",Art Club,Bioinformatics
70,Student 70,Psychology,Music Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Freshman,History,3.31,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team",Space Exploration
71,Student 71,Computer Science,Volunteer Group,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Sophomore,Biology,2.71,"Chinese, English, French, German, Japanese, Spanish","Art Club, Debate Club, Music Club",Machine Learning
72,Student 72,Physics,Volunteer Group,Programming,Chicago,Sophomore,Biology,3.56,English,"Debate Club, Sports Team, Volunteer Group",Behavioral Economics
73,Student 73,Computer Science,Coding Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Graduate,Physics,2.42,"French, Japanese",Volunteer Group,Urban Planning
74,Student 74,Biology,Volunteer Group,Artistic,Houston,Freshman,Computer Science,3.68,"French, German, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
75,Student 75,History,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming",New York,Senior,Psychology,2.88,"French, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Machine Learning
76,Student 76,Biology,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Senior,History,3.9,Chinese,Art Club,Artificial Intelligence
77,Student 77,Mathematics,Debate Club,"Artistic, Problem Solving, Programming",San Francisco,Senior,Physics,2.65,"Chinese, English, French, German, Japanese, Spanish","Debate Club, Music Club, Sports Team",Cognitive Psychology
78,Student 78,Computer Science,Debate Club,"Data Analysis, Leadership, Public Speaking",Houston,Junior,Mathematics,3.62,"Chinese, English, French, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Quantum Computing
79,Student 79,Psychology,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Junior,Mathematics,3.16,"Chinese, German","Coding Club, Music Club, Sports Team",Educational Technology
80,Student 80,Mathematics,Sports Team,Programming,Chicago,Senior,Psychology,2.88,"English, French, German, Spanish","Art Club, Coding Club, Debate Club, Volunteer Group",Quantum Computing
81,Student 81,Biology,Volunteer Group,"Data Analysis, Problem Solving, Programming",Los Angeles,Junior,History,2.94,"Chinese, English, French, Japanese","Debate Club, Music Club, Sports Team, Volunteer Group",Educational Technology
82,Student 82,Psychology,Art Club,"Artistic, Data Analysis, Problem Solving, Programming",San Francisco,Senior,Mathematics,3.15,"Chinese, French, German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Robotics
83,Student 83,Physics,Art Club,"Artistic, Data Analysis, Leadership",Los Angeles,Senior,Computer Science,2.69,"French, Japanese, Spanish","Coding Club, Debate Club, Sports Team, Volunteer Group",Artificial Intelligence
84,Student 84,Biology,Debate Club,"Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Freshman,Physics,2.25,English,"Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Artificial Intelligence
85,Student 85,Psychology,Coding Club,"Artistic, Leadership, Programming, Public Speaking",Houston,Senior,Biology,2.14,"Chinese, Japanese","Coding Club, Debate Club, Music Club, Volunteer Group",Urban Planning
86,Student 86,History,Debate Club,"Artistic, Data Analysis, Public Speaking",Boston,Junior,History,3.69,"Chinese, English, French, German","Debate Club, Music Club, Volunteer Group",Artificial Intelligence
87,Student 87,Psychology,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Junior,Mathematics,2.11,"Chinese, German, Spanish","Art Club, Debate Club, Sports Team, Volunteer Group",Social Sciences
88,Student 88,Biology,Art Club,"Data Analysis, Programming",New York,Graduate,Computer Science,3.0,"English, French, German, Japanese, Spanish","Art Club, Coding Club, Sports Team",Human-Computer Interaction
89,Student 89,History,Art Club,"Artistic, Data Analysis",Chicago,Freshman,Mathematics,2.58,"Chinese, English, French","Debate Club, Music Club, Sports Team, Volunteer Group",Data Science
90,Student 90,Physics,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Senior,Psychology,3.73,"Chinese, English, French, German, Japanese, Spanish","Coding Club, Sports Team",Sustainable Agriculture
91,Student 91,Psychology,Volunteer Group,"Artistic, Leadership, Problem Solving, Programming",Los Angeles,Senior,Computer Science,3.27,"Chinese, English, German, Japanese, Spanish",Coding Club,Blockchain Technology
92,Student 92,Biology,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Public Speaking",Boston,Senior,Physics,3.71,German,"Art Club, Coding Club, Music Club, Sports Team, Volunteer Group",Bioinformatics
93,Student 93,Physics,Art Club,Data Analysis,Boston,Senior,Mathematics,2.03,"Chinese, French","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Sustainable Agriculture
94,Student 94,History,Sports Team,Leadership,San Francisco,Sophomore,Computer Science,2.15,"Chinese, English, French, German, Japanese, Spanish",Sports Team,Bioinformatics
95,Student 95,Psychology,Volunteer Group,"Data Analysis, Leadership, Problem Solving, Programming",New York,Senior,Physics,3.04,"Chinese, English, French, German, Japanese",Art Club,Biomedical Engineering
96,Student 96,Computer Science,Art Club,Data Analysis,Chicago,Sophomore,History,2.8,"Chinese, English, Japanese","Coding Club, Debate Club, Sports Team, Volunteer Group",Climate Change
97,Student 97,History,Music Club,"Artistic, Data Analysis",San Francisco,Junior,Biology,2.66,"Chinese, English, French, German, Japanese","Art Club, Debate Club, Sports Team, Volunteer Group",Renewable Energy
98,Student 98,Mathematics,Coding Club,Data Analysis,San Francisco,Senior,Biology,2.25,"Chinese, Spanish",Volunteer Group,Quantum Computing
99,Student 99,History,Debate Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Senior,History,2.94,"Chinese, German, Spanish",Music Club,Renewable Energy
100,Student 100,Physics,Music Club,"Artistic, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Senior,Psychology,2.67,"Chinese, French, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
101,Student 101,Biology,Coding Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",New York,Sophomore,Biology,3.98,"Chinese, English, French","Art Club, Debate Club, Music Club, Sports Team",Sustainable Agriculture
102,Student 102,Physics,Music Club,"Data Analysis, Leadership, Programming, Public Speaking",San Francisco,Sophomore,Biology,3.52,"French, German, Japanese","Coding Club, Debate Club, Sports Team",Social Sciences
103,Student 103,Biology,Debate Club,"Data Analysis, Problem Solving, Programming, Public Speaking",New York,Senior,History,3.68,"Chinese, English, French, German, Japanese, Spanish","Debate Club, Sports Team, Volunteer Group",Renewable Energy
104,Student 104,Psychology,Debate Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Junior,Mathematics,3.5700000000000003,"Chinese, English, French, German, Japanese, Spanish","Art Club, Debate Club",Nanotechnology
105,Student 105,History,Coding Club,"Artistic, Data Analysis, Leadership, Programming",San Francisco,Sophomore,Biology,3.87,"Chinese, English, French, German, Japanese, Spanish","Music Club, Sports Team",Educational Technology
106,Student 106,Biology,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Sophomore,Psychology,2.17,"Chinese, English, German","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Robotics
107,Student 107,Computer Science,Coding Club,"Artistic, Leadership, Problem Solving, Public Speaking",Houston,Sophomore,Biology,2.64,"Chinese, French, German, Spanish","Art Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Climate Change
108,Student 108,Computer Science,Music Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",New York,Junior,Psychology,3.69,"Chinese, English, French, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Environmental Sustainability
109,Student 109,Mathematics,Volunteer Group,"Artistic, Data Analysis, Problem Solving, Public Speaking",New York,Graduate,Physics,3.7800000000000002,"Chinese, English, French, German, Japanese","Art Club, Coding Club, Music Club, Volunteer Group",Quantum Computing
110,Student 110,Psychology,Debate Club,"Leadership, Programming",San Francisco,Freshman,Physics,2.9699999999999998,"Chinese, English, Spanish","Music Club, Sports Team",Human-Computer Interaction
111,Student 111,Psychology,Music Club,"Artistic, Leadership, Public Speaking",Los Angeles,Senior,Computer Science,3.64,"German, Japanese, Spanish","Art Club, Debate Club, Music Club",Educational Technology
112,Student 112,Physics,Debate Club,Artistic,Los Angeles,Junior,Physics,2.98,Japanese,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Cybersecurity
113,Student 113,Psychology,Volunteer Group,"Data Analysis, Programming",Boston,Sophomore,History,3.56,Spanish,Coding Club,Urban Planning
114,Student 114,Biology,Debate Club,"Artistic, Data Analysis, Programming",Chicago,Sophomore,Mathematics,3.69,"Chinese, English, Spanish","Art Club, Coding Club, Debate Club, Music Club",Environmental Sustainability
115,Student 115,Biology,Coding Club,Problem Solving,New York,Freshman,Mathematics,2.69,"German, Japanese",Volunteer Group,Political Science
116,Student 116,Mathematics,Coding Club,"Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Sophomore,History,2.5700000000000003,"English, Spanish","Art Club, Coding Club, Volunteer Group",Healthcare Management
117,Student 117,Psychology,Sports Team,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Boston,Freshman,Physics,2.31,"Chinese, English, French, German, Japanese, Spanish",Volunteer Group,Space Exploration
118,Student 118,Computer Science,Volunteer Group,"Leadership, Problem Solving, Public Speaking",San Francisco,Sophomore,Biology,2.43,"Chinese, Japanese, Spanish","Coding Club, Debate Club",Renewable Energy
119,Student 119,Mathematics,Sports Team,Artistic,San Francisco,Junior,Computer Science,2.34,"Chinese, English, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Educational Technology
120,Student 120,Computer Science,Volunteer Group,"Artistic, Problem Solving, Programming, Public Speaking",New York,Junior,Mathematics,2.75,"English, German, Japanese","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Climate Change
121,Student 121,Mathematics,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Chicago,Senior,History,2.37,"Chinese, English, German, Japanese, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Climate Change
122,Student 122,Physics,Debate Club,"Leadership, Programming",Boston,Senior,Physics,2.12,"English, German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
123,Student 123,History,Debate Club,"Programming, Public Speaking",Chicago,Graduate,Computer Science,2.17,"Chinese, English, French, German, Japanese, Spanish","Art Club, Debate Club",Astrophysics
124,Student 124,History,Debate Club,"Data Analysis, Leadership, Problem Solving, Public Speaking",Los Angeles,Junior,Biology,3.56,"Chinese, German","Art Club, Debate Club, Music Club, Sports Team, Volunteer Group",Sustainable Agriculture
125,Student 125,History,Music Club,"Artistic, Data Analysis, Problem Solving, Programming, Public Speaking",San Francisco,Senior,Computer Science,2.47,"French, Japanese","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Data Science
126,Student 126,History,Volunteer Group,"Artistic, Problem Solving",Houston,Sophomore,Biology,3.5,"Chinese, English, French, German, Spanish","Debate Club, Volunteer Group",Robotics
127,Student 127,Biology,Volunteer Group,"Artistic, Leadership",Los Angeles,Junior,Biology,3.79,"French, German, Japanese, Spanish","Art Club, Debate Club, Music Club",Blockchain Technology
128,Student 128,Physics,Debate Club,"Problem Solving, Programming",Boston,Sophomore,History,3.02,"English, German, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Volunteer Group",Nanotechnology
129,Student 129,Biology,Debate Club,Public Speaking,Houston,Freshman,Computer Science,3.75,"Chinese, French, Spanish","Coding Club, Debate Club, Music Club, Sports Team",Human-Computer Interaction
130,Student 130,Biology,Art Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",San Francisco,Senior,Physics,3.5300000000000002,"English, French, German",Volunteer Group,Space Exploration
131,Student 131,Biology,Music Club,"Artistic, Problem Solving, Programming, Public Speaking",Houston,Sophomore,Psychology,2.66,"French, Spanish","Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Data Science
132,Student 132,Psychology,Sports Team,"Artistic, Data Analysis",San Francisco,Sophomore,Computer Science,2.22,Chinese,"Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Nanotechnology
133,Student 133,History,Debate Club,"Artistic, Leadership, Problem Solving, Public Speaking",Chicago,Senior,History,2.38,"Chinese, English, German, Japanese, Spanish",Volunteer Group,Educational Technology
134,Student 134,Mathematics,Volunteer Group,"Artistic, Problem Solving, Programming, Public Speaking",Los Angeles,Freshman,Mathematics,3.13,"Chinese, English, French, Japanese, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team, Volunteer Group",Social Sciences
135,Student 135,Psychology,Music Club,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Houston,Graduate,Physics,3.35,"Chinese, English, French, German, Japanese, Spanish","Debate Club, Music Club, Sports Team, Volunteer Group",Nanotechnology
136,Student 136,Biology,Debate Club,"Artistic, Leadership, Public Speaking",San Francisco,Sophomore,Physics,2.33,"Chinese, English, French, Japanese","Art Club, Music Club",Data Science
137,Student 137,Biology,Volunteer Group,Data Analysis,New York,Freshman,Computer Science,2.99,"Chinese, English, German, Japanese, Spanish","Art Club, Sports Team",Educational Technology
138,Student 138,Biology,Sports Team,"Leadership, Problem Solving",Houston,Freshman,Biology,2.51,"Chinese, English, French, German, Spanish","Art Club, Coding Club, Debate Club, Music Club, Sports Team",Nanotechnology
139,Student 139,History,Volunteer Group,"Artistic, Data Analysis, Leadership, Problem Solving, Programming, Public Speaking",Los Angeles,Freshman,Computer Science,3.04,Chinese,"Debate Club, Music Club, Sports Team, Volunteer Group",Robotics
