"recommendation_id","student_id","recommendation_description","activity_id","provider_id"
152107,22,"Game Development",11,4
152108,22,"Coding Bootcamp",10,4
152109,22,"Astronomy Nights",9,3
152110,22,"Robotics Club",8,3
152111,23,"Robotics Club",8,3
152112,23,"Game Development",11,4
152113,23,"Coding Bootcamp",10,4
152114,23,"Web Design",12,4
152115,23,"Astronomy Nights",9,3
152116,24,"Science Experiments",7,3
152117,24,"Robotics Club",8,3
152118,24,"Astronomy Nights",9,3
152119,24,"Guitar Classes",5,2
152120,24,"Violin Training",6,2
152121,25,"Robotics Club",8,3
152122,25,"Coding Bootcamp",10,4
152123,25,"Web Design",12,4
152124,25,"Game Development",11,4
152125,25,"Astronomy Nights",9,3
152126,26,"Robotics Club",8,3
152127,26,"Science Experiments",7,3
152128,26,"Astronomy Nights",9,3
152129,26,"Web Design",12,4
152130,26,"Game Development",11,4
152131,27,"Science Experiments",7,3
152132,27,"Robotics Club",8,3
152133,27,"Astronomy Nights",9,3
152134,27,"Web Design",12,4
152135,27,"Game Development",11,4
152136,28,"Robotics Club",8,3
152137,28,"Web Design",12,4
152138,28,"Game Development",11,4
152139,28,"Coding Bootcamp",10,4
152140,28,"Astronomy Nights",9,3
152141,29,"Science Experiments",7,3
152142,29,"Robotics Club",8,3
152143,29,"Astronomy Nights",9,3
152144,29,"Drawing Classes",2,1
152145,29,"Clay Modeling",1,1
152146,30,"Robotics Club",8,3
152147,30,"Guitar Classes",5,2
152148,30,"Violin Training",6,2
152149,30,"Piano Lessons",4,2
152150,30,"Web Design",12,4
152151,31,"Robotics Club",8,3
152152,31,"Web Design",12,4
152153,31,"Game Development",11,4
152154,31,"Coding Bootcamp",10,4
152155,31,"Astronomy Nights",9,3
152156,32,"Science Experiments",7,3
152157,32,"Robotics Club",8,3
152158,32,"Astronomy Nights",9,3
152159,32,"Web Design",12,4
152160,32,"Game Development",11,4
152161,33,"Robotics Club",8,3
152162,33,"Web Design",12,4
152163,33,"Game Development",11,4
152164,33,"Coding Bootcamp",10,4
152165,33,"Astronomy Nights",9,3
152166,34,"Robotics Club",8,3
152167,34,"Web Design",12,4
152168,34,"Game Development",11,4
152169,34,"Coding Bootcamp",10,4
152170,34,"Astronomy Nights",9,3
152171,35,"Robotics Club",8,3
152172,35,"Drawing Classes",2,1
152173,35,"Clay Modeling",1,1
152174,35,"Web Design",12,4
152175,35,"Game Development",11,4
152176,36,"Robotics Club",8,3
152177,36,"Guitar Classes",5,2
152178,36,"Violin Training",6,2
152179,36,"Piano Lessons",4,2
152180,36,"Web Design",12,4
152181,37,"Robotics Club",8,3
152182,37,"Web Design",12,4
152183,37,"Game Development",11,4
152184,37,"Coding Bootcamp",10,4
152185,37,"Astronomy Nights",9,3
152186,38,"Robotics Club",8,3
152187,38,"Web Design",12,4
152188,38,"Game Development",11,4
152189,38,"Coding Bootcamp",10,4
152190,38,"Astronomy Nights",9,3
152191,39,"Science Experiments",7,3
152192,39,"Robotics Club",8,3
152193,39,"Astronomy Nights",9,3
152194,39,"Web Design",12,4
152195,39,"Game Development",11,4
152196,40,"Robotics Club",8,3
152197,40,"Coding Bootcamp",10,4
152198,40,"Science Experiments",7,3
152199,40,"Astronomy Nights",9,3
152200,40,"Web Design",12,4
152201,41,"Robotics Club",8,3
152202,41,"Science Experiments",7,3
152203,41,"Astronomy Nights",9,3
152204,41,"Guitar Classes",5,2
152205,41,"Violin Training",6,2
152206,42,"Robotics Club",8,3
152207,42,"Drawing Classes",2,1
152208,42,"Clay Modeling",1,1
152209,42,"Web Design",12,4
152210,42,"Game Development",11,4
152211,43,"Robotics Club",8,3
152212,43,"Web Design",12,4
152213,43,"Game Development",11,4
152214,43,"Coding Bootcamp",10,4
152215,43,"Astronomy Nights",9,3
152216,44,"Science Experiments",7,3
152217,44,"Robotics Club",8,3
152218,44,"Astronomy Nights",9,3
152219,44,"Game Development",11,4
152220,44,"Coding Bootcamp",10,4
152221,45,"Web Design",12,4
152222,45,"Game Development",11,4
152223,45,"Coding Bootcamp",10,4
152224,45,"Astronomy Nights",9,3
152225,45,"Robotics Club",8,3
152226,46,"Science Experiments",7,3
152227,46,"Astronomy Nights",9,3
152228,46,"Web Design",12,4
152229,46,"Game Development",11,4
152230,46,"Coding Bootcamp",10,4
152231,47,"Robotics Club",8,3
152232,47,"Web Design",12,4
152233,47,"Game Development",11,4
152234,47,"Coding Bootcamp",10,4
152235,47,"Astronomy Nights",9,3
152236,48,"Robotics Club",8,3
152237,48,"Science Experiments",7,3
152238,48,"Astronomy Nights",9,3
152239,48,"Guitar Classes",5,2
152240,48,"Violin Training",6,2
152241,49,"Robotics Club",8,3
152242,49,"Guitar Classes",5,2
152243,49,"Violin Training",6,2
152244,49,"Piano Lessons",4,2
152245,49,"Web Design",12,4
152246,50,"Web Design",12,4
152247,50,"Game Development",11,4
152248,50,"Coding Bootcamp",10,4
152249,50,"Astronomy Nights",9,3
152250,50,"Robotics Club",8,3
152251,51,"Robotics Club",8,3
152252,51,"Science Experiments",7,3
152253,51,"Astronomy Nights",9,3
152254,51,"Web Design",12,4
152255,51,"Game Development",11,4
152256,52,"Web Design",12,4
152257,52,"Game Development",11,4
152258,52,"Coding Bootcamp",10,4
152259,52,"Astronomy Nights",9,3
152260,52,"Robotics Club",8,3
152261,53,"Robotics Club",8,3
152262,53,"Web Design",12,4
152263,53,"Game Development",11,4
152264,53,"Coding Bootcamp",10,4
152265,53,"Astronomy Nights",9,3
152266,54,"Science Experiments",7,3
152267,54,"Robotics Club",8,3
152268,54,"Astronomy Nights",9,3
152269,54,"Game Development",11,4
152270,54,"Coding Bootcamp",10,4
152271,55,"Robotics Club",8,3
152272,55,"Guitar Classes",5,2
152273,55,"Violin Training",6,2
152274,55,"Piano Lessons",4,2
152275,55,"Web Design",12,4
152276,56,"Robotics Club",8,3
152277,56,"Guitar Classes",5,2
152278,56,"Violin Training",6,2
152279,56,"Piano Lessons",4,2
152280,56,"Web Design",12,4
152281,57,"Robotics Club",8,3
152282,57,"Web Design",12,4
152283,57,"Game Development",11,4
152284,57,"Coding Bootcamp",10,4
152285,57,"Astronomy Nights",9,3
152286,58,"Web Design",12,4
152287,58,"Game Development",11,4
152288,58,"Coding Bootcamp",10,4
152289,58,"Astronomy Nights",9,3
152290,58,"Robotics Club",8,3
152291,59,"Robotics Club",8,3
152292,59,"Drawing Classes",2,1
152293,59,"Clay Modeling",1,1
152294,59,"Web Design",12,4
152295,59,"Game Development",11,4
152296,60,"Robotics Club",8,3
152297,60,"Web Design",12,4
152298,60,"Game Development",11,4
152299,60,"Coding Bootcamp",10,4
152300,60,"Astronomy Nights",9,3
152301,61,"Science Experiments",7,3
152302,61,"Astronomy Nights",9,3
152303,61,"Web Design",12,4
152304,61,"Game Development",11,4
152305,61,"Coding Bootcamp",10,4
152306,62,"Robotics Club",8,3
152307,62,"Game Development",11,4
152308,62,"Coding Bootcamp",10,4
152309,62,"Web Design",12,4
152310,62,"Astronomy Nights",9,3
152311,63,"Robotics Club",8,3
152312,63,"Web Design",12,4
152313,63,"Game Development",11,4
152314,63,"Coding Bootcamp",10,4
152315,63,"Astronomy Nights",9,3
152316,64,"Robotics Club",8,3
152317,64,"Science Experiments",7,3
152318,64,"Astronomy Nights",9,3
152319,64,"Web Design",12,4
152320,64,"Game Development",11,4
152321,65,"Robotics Club",8,3
152322,65,"Science Experiments",7,3
152323,65,"Astronomy Nights",9,3
152324,65,"Guitar Classes",5,2
152325,65,"Violin Training",6,2
152326,66,"Robotics Club",8,3
152327,66,"Science Experiments",7,3
152328,66,"Astronomy Nights",9,3
152329,66,"Web Design",12,4
152330,66,"Game Development",11,4
152331,67,"Robotics Club",8,3
152332,67,"Coding Bootcamp",10,4
152333,67,"Web Design",12,4
152334,67,"Game Development",11,4
152335,67,"Astronomy Nights",9,3
152336,68,"Robotics Club",8,3
152337,68,"Drawing Classes",2,1
152338,68,"Clay Modeling",1,1
152339,68,"Web Design",12,4
152340,68,"Game Development",11,4
152341,69,"Coding Bootcamp",10,4
152342,69,"Robotics Club",8,3
152343,69,"Web Design",12,4
152344,69,"Game Development",11,4
152345,69,"Astronomy Nights",9,3
152346,70,"Robotics Club",8,3
152347,70,"Guitar Classes",5,2
152348,70,"Violin Training",6,2
152349,70,"Piano Lessons",4,2
152350,70,"Web Design",12,4
152351,71,"Science Experiments",7,3
152352,71,"Robotics Club",8,3
152353,71,"Astronomy Nights",9,3
152354,71,"Web Design",12,4
152355,71,"Game Development",11,4
152356,72,"Robotics Club",8,3
152357,72,"Web Design",12,4
152358,72,"Game Development",11,4
152359,72,"Coding Bootcamp",10,4
152360,72,"Astronomy Nights",9,3
152361,73,"Robotics Club",8,3
152362,73,"Coding Bootcamp",10,4
152363,73,"Science Experiments",7,3
152364,73,"Astronomy Nights",9,3
152365,73,"Web Design",12,4
152366,74,"Web Design",12,4
152367,74,"Game Development",11,4
152368,74,"Coding Bootcamp",10,4
152369,74,"Astronomy Nights",9,3
152370,74,"Robotics Club",8,3
152371,75,"Robotics Club",8,3
152372,75,"Guitar Classes",5,2
152373,75,"Violin Training",6,2
152374,75,"Piano Lessons",4,2
152375,75,"Web Design",12,4
152376,76,"Robotics Club",8,3
152377,76,"Web Design",12,4
152378,76,"Game Development",11,4
152379,76,"Coding Bootcamp",10,4
152380,76,"Astronomy Nights",9,3
152381,77,"Robotics Club",8,3
152382,77,"Web Design",12,4
152383,77,"Game Development",11,4
152384,77,"Coding Bootcamp",10,4
152385,77,"Astronomy Nights",9,3
152386,78,"Science Experiments",7,3
152387,78,"Robotics Club",8,3
152388,78,"Astronomy Nights",9,3
152389,78,"Web Design",12,4
152390,78,"Game Development",11,4
152391,79,"Robotics Club",8,3
152392,79,"Game Development",11,4
152393,79,"Coding Bootcamp",10,4
152394,79,"Web Design",12,4
152395,79,"Astronomy Nights",9,3
152396,80,"Robotics Club",8,3
152397,80,"Web Design",12,4
152398,80,"Game Development",11,4
152399,80,"Coding Bootcamp",10,4
152400,80,"Astronomy Nights",9,3
152401,81,"Robotics Club",8,3
152402,81,"Game Development",11,4
152403,81,"Coding Bootcamp",10,4
152404,81,"Web Design",12,4
152405,81,"Astronomy Nights",9,3
152406,82,"Robotics Club",8,3
152407,82,"Drawing Classes",2,1
152408,82,"Clay Modeling",1,1
152409,82,"Web Design",12,4
152410,82,"Game Development",11,4
152411,83,"Robotics Club",8,3
152412,83,"Drawing Classes",2,1
152413,83,"Clay Modeling",1,1
152414,83,"Web Design",12,4
152415,83,"Game Development",11,4
152416,84,"Robotics Club",8,3
152417,84,"Web Design",12,4
152418,84,"Game Development",11,4
152419,84,"Coding Bootcamp",10,4
152420,84,"Astronomy Nights",9,3
152421,85,"Robotics Club",8,3
152422,85,"Coding Bootcamp",10,4
152423,85,"Web Design",12,4
152424,85,"Game Development",11,4
152425,85,"Astronomy Nights",9,3
152426,86,"Robotics Club",8,3
152427,86,"Web Design",12,4
152428,86,"Game Development",11,4
152429,86,"Coding Bootcamp",10,4
152430,86,"Astronomy Nights",9,3
152431,87,"Robotics Club",8,3
152432,87,"Drawing Classes",2,1
152433,87,"Clay Modeling",1,1
152434,87,"Web Design",12,4
152435,87,"Game Development",11,4
152436,88,"Robotics Club",8,3
152437,88,"Drawing Classes",2,1
152438,88,"Clay Modeling",1,1
152439,88,"Web Design",12,4
152440,88,"Game Development",11,4
152441,89,"Science Experiments",7,3
152442,89,"Robotics Club",8,3
152443,89,"Astronomy Nights",9,3
152444,89,"Drawing Classes",2,1
152445,89,"Clay Modeling",1,1
152446,90,"Robotics Club",8,3
152447,90,"Guitar Classes",5,2
152448,90,"Violin Training",6,2
152449,90,"Piano Lessons",4,2
152450,90,"Web Design",12,4
152451,91,"Robotics Club",8,3
152452,91,"Game Development",11,4
152453,91,"Coding Bootcamp",10,4
152454,91,"Web Design",12,4
152455,91,"Astronomy Nights",9,3
152456,92,"Robotics Club",8,3
152457,92,"Guitar Classes",5,2
152458,92,"Violin Training",6,2
152459,92,"Piano Lessons",4,2
152460,92,"Web Design",12,4
152461,93,"Robotics Club",8,3
152462,93,"Drawing Classes",2,1
152463,93,"Clay Modeling",1,1
152464,93,"Web Design",12,4
152465,93,"Game Development",11,4
152466,94,"Web Design",12,4
152467,94,"Game Development",11,4
152468,94,"Coding Bootcamp",10,4
152469,94,"Astronomy Nights",9,3
152470,94,"Robotics Club",8,3
152471,95,"Robotics Club",8,3
152472,95,"Web Design",12,4
152473,95,"Game Development",11,4
152474,95,"Coding Bootcamp",10,4
152475,95,"Astronomy Nights",9,3
152476,96,"Science Experiments",7,3
152477,96,"Robotics Club",8,3
152478,96,"Astronomy Nights",9,3
152479,96,"Drawing Classes",2,1
152480,96,"Clay Modeling",1,1
152481,97,"Robotics Club",8,3
152482,97,"Guitar Classes",5,2
152483,97,"Violin Training",6,2
152484,97,"Piano Lessons",4,2
152485,97,"Web Design",12,4
152486,98,"Coding Bootcamp",10,4
152487,98,"Robotics Club",8,3
152488,98,"Web Design",12,4
152489,98,"Game Development",11,4
152490,98,"Astronomy Nights",9,3
152491,99,"Robotics Club",8,3
152492,99,"Web Design",12,4
152493,99,"Game Development",11,4
152494,99,"Coding Bootcamp",10,4
152495,99,"Astronomy Nights",9,3
152496,100,"Robotics Club",8,3
152497,100,"Guitar Classes",5,2
152498,100,"Violin Training",6,2
152499,100,"Piano Lessons",4,2
152500,100,"Web Design",12,4
152501,101,"Robotics Club",8,3
152502,101,"Coding Bootcamp",10,4
152503,101,"Web Design",12,4
152504,101,"Game Development",11,4
152505,101,"Astronomy Nights",9,3
152506,102,"Robotics Club",8,3
152507,102,"Guitar Classes",5,2
152508,102,"Violin Training",6,2
152509,102,"Piano Lessons",4,2
152510,102,"Web Design",12,4
152511,103,"Robotics Club",8,3
152512,103,"Web Design",12,4
152513,103,"Game Development",11,4
152514,103,"Coding Bootcamp",10,4
152515,103,"Astronomy Nights",9,3
152516,104,"Robotics Club",8,3
152517,104,"Web Design",12,4
152518,104,"Game Development",11,4
152519,104,"Coding Bootcamp",10,4
152520,104,"Astronomy Nights",9,3
152521,105,"Robotics Club",8,3
152522,105,"Coding Bootcamp",10,4
152523,105,"Game Development",11,4
152524,105,"Web Design",12,4
152525,105,"Astronomy Nights",9,3
152526,106,"Robotics Club",8,3
152527,106,"Web Design",12,4
152528,106,"Game Development",11,4
152529,106,"Coding Bootcamp",10,4
152530,106,"Astronomy Nights",9,3
152531,107,"Coding Bootcamp",10,4
152532,107,"Science Experiments",7,3
152533,107,"Robotics Club",8,3
152534,107,"Astronomy Nights",9,3
152535,107,"Web Design",12,4
152536,108,"Robotics Club",8,3
152537,108,"Science Experiments",7,3
152538,108,"Astronomy Nights",9,3
152539,108,"Guitar Classes",5,2
152540,108,"Violin Training",6,2
152541,109,"Web Design",12,4
152542,109,"Game Development",11,4
152543,109,"Coding Bootcamp",10,4
152544,109,"Astronomy Nights",9,3
152545,109,"Robotics Club",8,3
152546,110,"Robotics Club",8,3
152547,110,"Web Design",12,4
152548,110,"Game Development",11,4
152549,110,"Coding Bootcamp",10,4
152550,110,"Astronomy Nights",9,3
152551,111,"Robotics Club",8,3
152552,111,"Guitar Classes",5,2
152553,111,"Violin Training",6,2
152554,111,"Piano Lessons",4,2
152555,111,"Game Development",11,4
152556,112,"Robotics Club",8,3
152557,112,"Web Design",12,4
152558,112,"Game Development",11,4
152559,112,"Coding Bootcamp",10,4
152560,112,"Astronomy Nights",9,3
152561,113,"Robotics Club",8,3
152562,113,"Web Design",12,4
152563,113,"Game Development",11,4
152564,113,"Coding Bootcamp",10,4
152565,113,"Astronomy Nights",9,3
152566,114,"Robotics Club",8,3
152567,114,"Web Design",12,4
152568,114,"Game Development",11,4
152569,114,"Coding Bootcamp",10,4
152570,114,"Astronomy Nights",9,3
152571,115,"Coding Bootcamp",10,4
152572,115,"Science Experiments",7,3
152573,115,"Robotics Club",8,3
152574,115,"Astronomy Nights",9,3
152575,115,"Web Design",12,4
152576,116,"Robotics Club",8,3
152577,116,"Coding Bootcamp",10,4
152578,116,"Web Design",12,4
152579,116,"Game Development",11,4
152580,116,"Astronomy Nights",9,3
152581,117,"Robotics Club",8,3
152582,117,"Web Design",12,4
152583,117,"Game Development",11,4
152584,117,"Coding Bootcamp",10,4
152585,117,"Astronomy Nights",9,3
152586,118,"Science Experiments",7,3
152587,118,"Astronomy Nights",9,3
152588,118,"Web Design",12,4
152589,118,"Game Development",11,4
152590,118,"Coding Bootcamp",10,4
152591,119,"Robotics Club",8,3
152592,119,"Game Development",11,4
152593,119,"Coding Bootcamp",10,4
152594,119,"Web Design",12,4
152595,119,"Astronomy Nights",9,3
152596,120,"Science Experiments",7,3
152597,120,"Robotics Club",8,3
152598,120,"Astronomy Nights",9,3
152599,120,"Web Design",12,4
152600,120,"Game Development",11,4
152601,121,"Robotics Club",8,3
152602,121,"Drawing Classes",2,1
152603,121,"Clay Modeling",1,1
152604,121,"Web Design",12,4
152605,121,"Game Development",11,4
152606,122,"Robotics Club",8,3
152607,122,"Web Design",12,4
152608,122,"Game Development",11,4
152609,122,"Coding Bootcamp",10,4
152610,122,"Astronomy Nights",9,3
152611,123,"Robotics Club",8,3
152612,123,"Web Design",12,4
152613,123,"Game Development",11,4
152614,123,"Coding Bootcamp",10,4
152615,123,"Astronomy Nights",9,3
152616,124,"Robotics Club",8,3
152617,124,"Web Design",12,4
152618,124,"Game Development",11,4
152619,124,"Coding Bootcamp",10,4
152620,124,"Astronomy Nights",9,3
152621,125,"Robotics Club",8,3
152622,125,"Science Experiments",7,3
152623,125,"Astronomy Nights",9,3
152624,125,"Guitar Classes",5,2
152625,125,"Violin Training",6,2
152626,126,"Robotics Club",8,3
152627,126,"Web Design",12,4
152628,126,"Game Development",11,4
152629,126,"Coding Bootcamp",10,4
152630,126,"Astronomy Nights",9,3
152631,127,"Robotics Club",8,3
152632,127,"Game Development",11,4
152633,127,"Coding Bootcamp",10,4
152634,127,"Web Design",12,4
152635,127,"Astronomy Nights",9,3
152636,128,"Robotics Club",8,3
152637,128,"Web Design",12,4
152638,128,"Game Development",11,4
152639,128,"Coding Bootcamp",10,4
152640,128,"Astronomy Nights",9,3
152641,129,"Robotics Club",8,3
152642,129,"Web Design",12,4
152643,129,"Game Development",11,4
152644,129,"Coding Bootcamp",10,4
152645,129,"Astronomy Nights",9,3
152646,130,"Robotics Club",8,3
152647,130,"Drawing Classes",2,1
152648,130,"Clay Modeling",1,1
152649,130,"Web Design",12,4
152650,130,"Game Development",11,4
152651,131,"Robotics Club",8,3
152652,131,"Science Experiments",7,3
152653,131,"Astronomy Nights",9,3
152654,131,"Guitar Classes",5,2
152655,131,"Violin Training",6,2
152656,132,"Web Design",12,4
152657,132,"Game Development",11,4
152658,132,"Coding Bootcamp",10,4
152659,132,"Astronomy Nights",9,3
152660,132,"Robotics Club",8,3
152661,133,"Robotics Club",8,3
152662,133,"Game Development",11,4
152663,133,"Coding Bootcamp",10,4
152664,133,"Web Design",12,4
152665,133,"Astronomy Nights",9,3
152666,134,"Robotics Club",8,3
152667,134,"Web Design",12,4
152668,134,"Game Development",11,4
152669,134,"Coding Bootcamp",10,4
152670,134,"Astronomy Nights",9,3
152671,135,"Robotics Club",8,3
152672,135,"Guitar Classes",5,2
152673,135,"Violin Training",6,2
152674,135,"Piano Lessons",4,2
152675,135,"Web Design",12,4
152676,136,"Science Experiments",7,3
152677,136,"Robotics Club",8,3
152678,136,"Astronomy Nights",9,3
152679,136,"Web Design",12,4
152680,136,"Game Development",11,4
152681,137,"Robotics Club",8,3
152682,137,"Game Development",11,4
152683,137,"Coding Bootcamp",10,4
152684,137,"Web Design",12,4
152685,137,"Astronomy Nights",9,3
152686,138,"Web Design",12,4
152687,138,"Game Development",11,4
152688,138,"Coding Bootcamp",10,4
152689,138,"Astronomy Nights",9,3
152690,138,"Robotics Club",8,3
152691,139,"Robotics Club",8,3
152692,139,"Web Design",12,4
152693,139,"Game Development",11,4
152694,139,"Coding Bootcamp",10,4
152695,139,"Astronomy Nights",9,3
152696,140,"Robotics Club",8,3
152697,140,"Web Design",12,4
152698,140,"Game Development",11,4
152699,140,"Coding Bootcamp",10,4
152700,140,"Astronomy Nights",9,3
152701,141,"Robotics Club",8,3
152702,141,"Coding Bootcamp",10,4
152703,141,"Web Design",12,4
152704,141,"Game Development",11,4
152705,141,"Astronomy Nights",9,3
152706,142,"Science Experiments",7,3
152707,142,"Robotics Club",8,3
152708,142,"Astronomy Nights",9,3
152709,142,"Drawing Classes",2,1
152710,142,"Clay Modeling",1,1
152711,143,"Robotics Club",8,3
152712,143,"Science Experiments",7,3
152713,143,"Astronomy Nights",9,3
152714,143,"Drawing Classes",2,1
152715,143,"Clay Modeling",1,1
152716,144,"Robotics Club",8,3
152717,144,"Drawing Classes",2,1
152718,144,"Clay Modeling",1,1
152719,144,"Web Design",12,4
152720,144,"Game Development",11,4
152721,145,"Robotics Club",8,3
152722,145,"Drawing Classes",2,1
152723,145,"Clay Modeling",1,1
152724,145,"Web Design",12,4
152725,145,"Game Development",11,4
152726,146,"Robotics Club",8,3
152727,146,"Web Design",12,4
152728,146,"Game Development",11,4
152729,146,"Coding Bootcamp",10,4
152730,146,"Astronomy Nights",9,3
152731,147,"Web Design",12,4
152732,147,"Game Development",11,4
152733,147,"Coding Bootcamp",10,4
152734,147,"Astronomy Nights",9,3
152735,147,"Robotics Club",8,3
152736,148,"Robotics Club",8,3
152737,148,"Guitar Classes",5,2
152738,148,"Violin Training",6,2
152739,148,"Piano Lessons",4,2
152740,148,"Web Design",12,4
152741,149,"Web Design",12,4
152742,149,"Game Development",11,4
152743,149,"Coding Bootcamp",10,4
152744,149,"Astronomy Nights",9,3
152745,149,"Robotics Club",8,3
152746,150,"Coding Bootcamp",10,4
152747,150,"Science Experiments",7,3
152748,150,"Robotics Club",8,3
152749,150,"Astronomy Nights",9,3
152750,150,"Web Design",12,4
152751,151,"Robotics Club",8,3
152752,151,"Web Design",12,4
152753,151,"Game Development",11,4
152754,151,"Coding Bootcamp",10,4
152755,151,"Astronomy Nights",9,3
152756,152,"Robotics Club",8,3
152757,152,"Coding Bootcamp",10,4
152758,152,"Science Experiments",7,3
152759,152,"Astronomy Nights",9,3
152760,152,"Web Design",12,4
152761,153,"Robotics Club",8,3
152762,153,"Web Design",12,4
152763,153,"Game Development",11,4
152764,153,"Coding Bootcamp",10,4
152765,153,"Astronomy Nights",9,3
152766,154,"Robotics Club",8,3
152767,154,"Drawing Classes",2,1
152768,154,"Clay Modeling",1,1
152769,154,"Web Design",12,4
152770,154,"Game Development",11,4
152771,155,"Coding Bootcamp",10,4
152772,155,"Science Experiments",7,3
152773,155,"Robotics Club",8,3
152774,155,"Astronomy Nights",9,3
152775,155,"Web Design",12,4
152776,156,"Robotics Club",8,3
152777,156,"Web Design",12,4
152778,156,"Game Development",11,4
152779,156,"Coding Bootcamp",10,4
152780,156,"Astronomy Nights",9,3
152781,157,"Robotics Club",8,3
152782,157,"Drawing Classes",2,1
152783,157,"Clay Modeling",1,1
152784,157,"Web Design",12,4
152785,157,"Game Development",11,4
152786,158,"Science Experiments",7,3
152787,158,"Astronomy Nights",9,3
152788,158,"Web Design",12,4
152789,158,"Game Development",11,4
152790,158,"Coding Bootcamp",10,4
152791,159,"Web Design",12,4
152792,159,"Game Development",11,4
152793,159,"Coding Bootcamp",10,4
152794,159,"Astronomy Nights",9,3
152795,159,"Robotics Club",8,3
152796,160,"Robotics Club",8,3
152797,160,"Web Design",12,4
152798,160,"Game Development",11,4
152799,160,"Coding Bootcamp",10,4
152800,160,"Astronomy Nights",9,3
152801,161,"Science Experiments",7,3
152802,161,"Robotics Club",8,3
152803,161,"Astronomy Nights",9,3
152804,161,"Web Design",12,4
152805,161,"Game Development",11,4
152806,415,"Web Design",12,4
152807,415,"Game Development",11,4
152808,415,"Coding Bootcamp",10,4
152809,415,"Astronomy Nights",9,3
152810,415,"Robotics Club",8,3
152811,162,"Science Experiments",7,3
152812,162,"Robotics Club",8,3
152813,162,"Astronomy Nights",9,3
152814,162,"Web Design",12,4
152815,162,"Game Development",11,4
